nome,linha,vizinhos;
Imperatriz Leopoldina,8;,Presidente Altino;Domingos de Moraes;
Domingos de Moraes,8;,Imperatriz Leopoldina;Lapa-8;
Lapa-8,8;,Domingos de Moraes;Palmeiras-Barra Funda;
Júlio Prestes,8;,Palmeiras-Barra Funda;
Ceasa,9;,Presidente Altino;Villa-Lobos-Jaguaré;
Villa-Lobos-Jaguaré,9;,Ceasa;Cidade Universitária;
Cidade Universitária,9;,Villa-Lobos-Jaguaré;Pinheiros;
Hebraica-Rebouças,9;,Pinheiros;Cidade Jardim;
Cidade Jardim,9;,Hebraica-Rebouças;Vila Olímpia;
Vila Olímpia,9;,Cidade Jardim;Berrini;
Berrini,9;,Vila Olímpia;Morumbi;
Morumbi,9;,Berrini;Granja Julieta;
Granja Julieta,9;,Morumbi;João Dias;
João Dias,9;,Granja Julieta;Santo Amaro;
Socorro,9;,Santo Amaro;Jurubatuba;
Jurubatuba,9;,Socorro;Autódromo;
Autódromo,9;,Jurubatuba;Primavera-Interlagos;
Primavera-Interlagos,9;,Autódromo;Grajaú;
Grajaú,9;,Primavera-Interlagos;Bruno Covas-Mendes-Vila Natal;
Bruno Covas-Mendes-Vila Natal,9;,Grajaú;
Juventus-Mooca,10;,Brás;Ipiranga;
Ipiranga,10;,Juventus-Mooca;Tamanduateí;
São Caetano do Sul,10;,Tamanduateí;Utinga;
Utinga,10;,São Caetano do Sul;Prefeito Saladino;
Prefeito Saladino,10;,Utinga;Santo André;
Santo André,10;,Prefeito Saladino;Capuava;
Capuava,10;,Santo André;Mauá;
Mauá,10;,Capuava;Guapituba;
Guapituba,10;,Mauá;Ribeirão Pires;
Ribeirão Pires,10;,Guapituba;Rio Grande da Serra;
Rio Grande da Serra,10;,Ribeirão Pires;
Dom Bosco,11;,Corinthians-Itaquera;José Bonifácio;
José Bonifácio,11;,Dom Bosco;Guaianases;
Guaianases,11;,José Bonifácio;Antonio Gianetti Neto;
Antonio Gianetti Neto,11;,Guaianases;Ferraz de Vasconcelos;
Ferraz de Vasconcelos,11;,Antonio Gianetti Neto;Poá;
Poá,11;,Ferraz de Vasconcelos;Calmon Viana;
Calmon Viana,11;12;,Poá;Suzano;Aracaré;
Suzano,11;,Calmon Viana;Jundiapeba;
Jundiapeba,11;,Suzano;Braz Cubas;
Braz Cubas,11;,Jundiapeba;Mogi das Cruzes;
Mogi das Cruzes,11;,Braz Cubas;Estudantes;
Estudantes,11;,Mogi das Cruzes;
Engenheiro Goulart,12;13;,Tatuapé;USP Leste;Guarulhos-Cecap;
USP Leste,12;,Engenheiro Goulart;Comendador Ermelino;
Comendador Ermelino,12;,USP Leste;São Miguel Paulista;
São Miguel Paulista,12;,Comendador Ermelino;Jardim Helena-Vila Mara;
